UniprotID,ProteinName,quant
A0A061ACH4,A0A061ACH4_CAEEL,1456899.7846970162
A0A061ACL3,A0A061ACL3_CAEEL,5993938.080017088
A0A061ACR1,A0A061ACR1_CAEEL,6274582.850122347
A0A061ACY0,A0A061ACY0_CAEEL,2548953.56206331
A0A061AD21,A0A061AD21_CAEEL,5388729.476396214
A0A061AD47,A0A061AD47_CAEEL,3391186.207867733
A0A061AE05,A0A061AE05_CAEEL,1162267.6461408036
A0A061AJK8,A0A061AJK8_CAEEL,552917.4117608286
A0A061AL58,A0A061AL58_CAEEL,162920.5946196533
A0A078BS63,A0A078BS63_CAEEL,1403122.3739924077
A0A9S2,A0A9S2_CAEEL,1072916.910885116
A0AV96,RBM47_HUMAN,2122134.216480187
A0AVF1,TTC26_HUMAN,17259771.197460517
A0AVT1,UBA6_HUMAN,6112076.0861004805
A0FGR8,ESYT2_HUMAN,4668800.979044283
A0JLT2,MED19_HUMAN,620540.0325056316
A0MZ66,SHOT1_HUMAN,5581910.952013638
A0PJW6,TM223_HUMAN,5396087.591529977
A1A4S6,RHG10_HUMAN,705808.404468583
A1A5D9,BICR2_HUMAN,4760873.432256666
A1L0T0,ILVBL_HUMAN,9086772.10454474
A1L188,CQ089_HUMAN,829750.6022957976
A1L390,PKHG3_HUMAN,1133925.9588327967
A1L429,GG12C_HUMAN,5295107.961604046
A2A2Z9,AN18B_HUMAN,30616666.12590026
A2RRD8,ZN320_HUMAN,15371918.024810016
A2RRP1,NBAS_HUMAN,1981386.3750182928
A2RTX5,SYTC2_HUMAN,9931242.832035225
A3KMH1,VWA8_HUMAN,2258580.1210022634
A3KN83,SBNO1_HUMAN,5271589.4293266935
A3QMC2,A3QMC2_CAEEL,2220916.6805065386
A3QMC5,A3QMC5_CAEEL,16936048.204587746
A3QMC8,GMPPB_CAEEL,2583847.4397445805
A4D1E9,GTPBA_HUMAN,3068628.37976871
A4UGR9,XIRP2_HUMAN,7160854.451830324
A5A3E0,POTEF_HUMAN,5675925.0599371465
A5A8Q9,A5A8Q9_CAEEL,5158032.695436057
A5D8V6,VP37C_HUMAN,1791323.413609777
A5HU98,A5HU98_CAEEL,1575161.6945183394
A5HWA4,A5HWA4_CAEEL,96600.29995938798
A5HWB2,A5HWB2_CAEEL,3584722.2563986727
A5JYR4,A5JYR4_CAEEL,1092294.5281361132
A5JYX3,A5JYX3_CAEEL,605920.9708115143
A5JYX4,A5JYX4_CAEEL,4123976.7552917646
A5JYX8,A5JYX8_CAEEL,2065804.3924558484
A5PEX6,A5PEX6_CAEEL,5026394.627644017
A5PLL7,TM189_HUMAN,4787606.562169203
A5PLN9,TPC13_HUMAN,2609151.940833867
A5YKK6,CNOT1_HUMAN,5496298.599631809
A5Z2S4,A5Z2S4_CAEEL,325298.55613708374
A5Z2W3,A5Z2W3_CAEEL,12791228.09812694
A5Z2X5,YP010_YEAST,14444038.916097378
A6NC78,GOG8I_HUMAN,1906106.4906690728
A6NC98,CC88B_HUMAN,54551781.78017665
A6NCE7,MP3B2_HUMAN,17525032.323133707
A6NCN2,KR87P_HUMAN,15137967.8883552
A6ND36,FA83G_HUMAN,295532.6510633409
A6NDG6,PGP_HUMAN,5715551.967836181
A6NDU8,CE051_HUMAN,3602194.413359615
A6NED2,RCCD1_HUMAN,4084037.9654416414
A6NFI3,ZN316_HUMAN,798567.4513353832
A6NGY5,O51F1_HUMAN,2056254.788310784
A6NHL2,TBAL3_HUMAN,3225857.3920157035
A6NHR9,SMHD1_HUMAN,5720551.135176212
A6NIH7,U119B_HUMAN,2750344.771388992
A6NJ78,MET15_HUMAN,1047757.612407669
A6NKF1,SAC31_HUMAN,8954007.703700371
A6NKT7,RGPD3_HUMAN,7338650.409659397
A6PVA5,A6PVA5_CAEEL,587838.4894083398
A6ZJ46,A6ZJ46_CAEEL,3138433.5213369546
A6ZKI3,F127A_HUMAN,2599217.1830012337
A7DT40,A7DT40_CAEEL,696176.665248212
A7DT45,A7DT45_CAEEL,4274585.28256044
A7DTF5,A7DTF5_CAEEL,5947755.343211655
A7E2V4,ZSWM8_HUMAN,86798.93093272613
A7LPE6,A7LPE6_CAEEL,13255204.111979797
A7LPF3,A7LPF3_CAEEL,4701451.8752838895
A7LPG5,A7LPG5_CAEEL,11395400.145746151
A7LPJ5,A7LPJ5_CAEEL,1358651.932228607
A8MT69,CENPX_HUMAN,306924.2739814269
A8MT70,ZBBX_HUMAN,6259531.945458338
A8MWD9,RUXGL_HUMAN,130074512.39125407
A8MXV4,NUD19_HUMAN,2404723.339842104
A8WHR6,A8WHR6_CAEEL,10834877.657829778
A8WI97,A8WI97_CAEEL,1161647.2698549686
A9CZN9,A9CZN9_CAEEL,2899856.2333764457
A9D0C6,A9D0C6_CAEEL,1304511.8070852668
A9D2X7,A9D2X7_CAEEL,2105321.818078296
A9UJN7,A9UJN7_CAEEL,7225222.13035953
B0I1T2,MYO1G_HUMAN,10631607.73242163
B0M0L8,B0M0L8_CAEEL,9879276.720864175
B0M0N9,B0M0N9_CAEEL,1229107.301819441
B1Q254,B1Q254_CAEEL,440182.5260145884
B2D6K7,B2D6K7_CAEEL,5094372.382175025
B2D6P1,B2D6P1_CAEEL,4699078.427373582
B2FDA8,SMC3_CAEEL,3722536.770957716
B3CJ34,B3CJ34_CAEEL,6436340.539900776
B3GWA1,B3GWA1_CAEEL,4064622.5113518015
B3WFT8,B3WFT8_CAEEL,6018956.793079864
B3WFV9,B3WFV9_CAEEL,3957033.6101618344
B3WFW9,B3WFW9_CAEEL,4437660.647144168
B3WFZ3,B3WFZ3_CAEEL,1361401.866119254
B4E3X6,B4E3X6_CAEEL,3100501.1688618925
B5BM23,B5BM23_CAEEL,7379036.38830506
B5BM32,B5BM32_CAEEL,878976.8833139462
B5BM33,B5BM33_CAEEL,1269355.6304056344
B5BM47,B5BM47_CAEEL,29806461.320001263
B5U8N2,B5U8N2_CAEEL,1076951.7725323143
B6VQ59,B6VQ59_CAEEL,4021824.470353094
B7FAR9,B7FAR9_CAEEL,5588660.144825103
B7WN95,B7WN95_CAEEL,347470700.4123665
B7ZAQ6,GPHRA_HUMAN,1636707.0804947575
B9WRS6,B9WRS6_CAEEL,20643777.725471824
C0P278,C0P278_CAEEL,455280.785683167
C0VXV6,C0VXV6_CAEEL,1469756.965332592
C0Z1Y9,C0Z1Y9_CAEEL,2249899.9456373993
C1P622,C1P622_CAEEL,12765319.3757854
C1P629,C1P629_CAEEL,4844055.959149097
C1P636,C1P636_CAEEL,9476167.298810808
C2BR91,C2BR91_CAEEL,4370116.7281868225
C2BR97,C2BR97_CAEEL,531424.4664514603
C4AMC7,WASH3_HUMAN,15192059.637607388
C5VUK2,C5VUK2_CAEEL,1604610.7965627734
C6KRG1,C6KRG1_CAEEL,5338718.170523088
C6KRI9,C6KRI9_CAEEL,917904.1107637072
C6KRK8,C6KRK8_CAEEL,2766475.7223464884
C6KRN1,C6KRN1_CAEEL,3074782.8635380417
C6KRN4,C6KRN4_CAEEL,2093718.151086308
C6KRQ4,C6KRQ4_CAEEL,1258884.1532365056
C7FZU3,C7FZU3_CAEEL,5393042.426575765
C9IY21,C9IY21_CAEEL,5793883.572145232
D0IMZ5,D0IMZ5_CAEEL,10117421.318929896
D0PV95,D0PV95_CAEEL,17142120.021333165
D0VWL6,D0VWL6_CAEEL,2206878.346659775
D0VWM8,D0VWM8_CAEEL,725219.4961682595
D0Z5P0,D0Z5P0_CAEEL,533133.2477884194
D1MN80,D1MN80_CAEEL,911178.9141170856
D3NQA9,D3NQA9_CAEEL,1014664.1508025352
D3YT36,D3YT36_CAEEL,9821656.209555507
D3YT56,D3YT56_CAEEL,16536661.041765044
D4YWC3,D4YWC3_CAEEL,800109.7086845413
D5MCN2,LARP1_CAEEL,9006085.761689551
D5MCQ1,D5MCQ1_CAEEL,21351986.879927844
D7SFI3,D7SFI3_CAEEL,9771271.57520925
D7SFK2,D7SFK2_CAEEL,131384.9006978179
D9N122,D9N122_CAEEL,2050110.4173841556
D9PTP5,D9PTP5_CAEEL,5305764.098032827
E0AHA7,E0AHA7_CAEEL,5350754.352058217
