Protein,Protein_quant,ProteinName
A0A075B6H9,255115.02011589258, 
A0A075B6J9,310160.93175868824, 
A0A075B6K4,405786.4261639368, 
A0A075B767,983056.9005512767, 
A0A087WSY6,5617928.705156509, 
A0A087WW87,26524251.595798854, 
A0A0A0MS15,2492153.454038147, 
A0A0B4J1U7,3778331.2314942814, 
A0A0B4J1V1,2715003.2115605474, 
A0A0B4J1X5,9895672.293759719, 
A0A0B4J1Y8,1109398.1562640548, 
A0A0B4J1Y9,1678681.6081016308, 
A0A0B4J2D5,6627725.985650622, 
A0A0B4J2H0,2587399.7544025723, 
A0A0C4DH25,11962778.451673718, 
A0A0C4DH31,1875338.3150706927, 
A0A0C4DH34,1927418.9213818898, 
A0A0C4DH36,1051180.7456724918, 
A0A0C4DH38,3141724.6630238504, 
A0A0C4DH67,2491392.2807607027, 
A0A0C4DH68,2120680.109255569, 
A0A0C4DH72,3001529.7492826357, 
A0A0J9YXQ4,143528.38531866888, 
A0AV96,1479517.481615897, 
A0AVF1,126587.50090573727, 
A0AVT1,10987734.959914338, 
A0FGR8,5265972.860059114, 
A0JNW5,498930.1899037311, 
A0M8Q6,2721834.726928188, 
A0MZ66,2332371.523624857, 
A0PJW6,827149.9218970693, 
A0PJW8,155065.30039929147, 
A0PK00,386262.09434447275, 
A1A4S6,2442048.901616291, 
A1IGU5,231819.4213995636, 
A1L020,553876.552028946, 
A1L0T0,4157997.870487359, 
A1L188,990688.3725839733, 
A1L390,1047599.8930739611, 
A1L3X0,395364.9648724887, 
A1X283,17617740.482034102, 
A1Z1Q3,2454791.4440927366, 
A2RRP1,3076080.4523597374, 
A2RTX5,722167.6814606626, 
A2RTY3,65433.82425023157, 
A2RUB1,11076585.50064885, 
A2RUB6,344829.7189113043, 
A2RUC4,5407795.444309231, 
A2RUS2,14632920.10151475, 
A2VDF0,352384.85855725966, 
A3KMH1,6674021.919679265, 
A3KN83,2176760.1904031895, 
A4D0V7,662170.7017782282, 
A4D1P6,8543674.140472865, 
A4D1S0,597874.3434666839, 
A4D1U4,1072788.164458961, 
A4D2P6,766489.6979126291, 
A4FU69,3571695.3312069816, 
A4UGR9,189863.46634856105, 
A5A3E0,2811178.695263277, 
A5D8V6,2391121.3091175817, 
A5PLL7,254717.60744366035, 
A5PLN9,323505.43337547564, 
A5YKK6,8691372.207209766, 
A5YM72,810697.9023430671, 
A6NC98,3202778.8452031557, 
A6NCE7,1825671.9505131715, 
A6ND91,801968.1350412258, 
A6NDB9,315222.18588507967, 
A6NDG6,3201861.551610174, 
A6NDK9,39349049.18043234, 
A6NDU8,1495265.3771272493, 
A6NED2,344694.16367201274, 
A6NEE1,144322.10516296825, 
A6NFI3,528529.7054332787, 
A6NFQ2,2865837.99718955, 
A6NHQ2,98258.68736337451, 
A6NHR9,5602995.097049234, 
A6NI28,296086.8567748227, 
A6NI86,1939312.5016921621, 
A6NIH7,2729907.8607671154, 
A6NK89,1271292.9192294774, 
A6NKD9,462584.22503416246, 
A6NKF1,672366.1902488944, 
A6NLP5,156969.95815440334, 
A6NMB1,41139764.69319356, 
A6NMZ7,1346263.421813739, 
A6QL63,436315.1351197107, 
A6ZKI3,324908.20931540785, 
A7E2V4,945797.619854857, 
A7KAX9,607376.649485377, 
A8CG34,2191401.0746274074, 
A8K2U0,20713828.524982378, 
A8K7I4,5566540.0281989, 
A8K855,357356.2727381392, 
A8MU46,609516.7651255336, 
A8MVW0,113123.03974237265, 
A8MVX0,561723.9220009611, 
A8MXV4,4800227.914401703, 
A8TX70,84919.44696860589, 
B0I1T2,16371240.56264432, 
B2RBV5,1319899.3908704838, 
B2RTY4,1614875.3508861663, 
B7ZAP0,1757884.8374523432, 
B7ZAQ6,2153029.462415395, 
B9A064,9195594.720234465, 
C4AMC7,4859438.412084181, 
C9J069,1678552.8234832555, 
C9JJH3,282293186.4169164, 
C9JLR9,316705.1115862611, 
C9JLW8,2694183.067330461, 
C9JRZ8,114167.02660137128, 
C9JTQ0,390358.24910284043, 
DECOY_O00400,374384.91495977127,
DECOY_P09488,531084.4238193098,
DECOY_Q96BR5,387392.907866642,
DECOY_Q96H78,1268356.3511492405,
DECOY_Q9UPY6,855543.5987916372,
E9PAV3,38357145.328459665, 
E9PRG8,3838037.2017346337, 
G9CGD6,318900.7842556848, 
H7BZ55,280274.26903861196, 
L0R6Q1,2817183.2409573067, 
L0R819,160706.70682109546, 
L0R8F8,2583837.126208721, 
O00115,1208085.8218977908, 
O00116,4594314.440646832, 
O00124,1165858.8150077318, 
O00139,6130369.5599013725, 
O00142,749395.4773835856, 
O00148,10043778.49511402, 
O00151,29364734.60682023, 
O00154,11768325.510247957, 
O00159,27780381.356582046, 
O00160,23108211.680761326, 
O00161,14600958.866299774, 
O00165,1871105.73487612, 
