Protein,Protein_quant,ProteinName
A0A075B6H9,2013873.5382038243, 
A0A075B6K2,2639820.94964752, 
A0A075B767,3717654.7902961085, 
A0A087WSY6,12580452.41619413, 
A0A087WW87,53082661.23499157, 
A0A0A0MS15,8477745.8468339, 
A0A0B4J1U7,24627591.807936367, 
A0A0B4J1V6,2218013.855989286, 
A0A0B4J1X5,19695610.74724483, 
A0A0B4J1Y9,1472030.3113921212, 
A0A0B4J2D5,58504099.486307375, 
A0A0B4J2F0,4370825.527643638, 
A0A0B4J2H0,1054582.7309923149, 
A0A0C4DH25,20531479.256501857, 
A0A0C4DH34,6001426.616628461, 
A0A0C4DH68,1867810.2975221823, 
A0A0J9YXQ4,1882897.0745987948, 
A0AV96,42275331.067024, 
A0AVF1,5868906.301832081, 
A0AVT1,43695005.865628004, 
A0FGR8,43879631.49791708, 
A0JNW5,813175.987174154, 
A0M8Q6,3354976.7042938196, 
A0MZ66,27009139.147378217, 
A1A4S6,8571004.810771815, 
A1IGU5,8980361.921749426, 
A1L0T0,3436638.2174758194, 
A1L170,7661979.3492527995, 
A1L390,2459788.3838775894, 
A1X283,27170614.31984528, 
A1Z1Q3,1797988.0290325095, 
A2RRP1,7542175.541936084, 
A2RTX5,286885.96037171676, 
A2RUB1,7469157.1871109, 
A2RUB6,1518253.989588645, 
A2RUC4,3207862.437143572, 
A2RUS2,2819474.2048146846, 
A3KMH1,14307564.783495676, 
A3KN83,6017658.782785649, 
A4D126,2451114.3099835417, 
A4D1E9,3178111.9189820774, 
A4D1P6,23448609.484434936, 
A4D1S5,4821535.419425102, 
A4FU69,16219978.036043126, 
A5A3E0,87626461.42620322, 
A5D8V6,6254239.019075604, 
A5D8W1,1203519.4609253132, 
A5PLN9,8799489.178147051, 
A5YKK6,31347100.473907728, 
A6NC98,2552313.8014337537, 
A6NCE7,14831756.473397287, 
A6NCS6,1409037.2694669922, 
A6ND36,1155339.5348191883, 
A6NDB9,6521982.966601116, 
A6NDG6,8514548.208107395, 
A6NDU8,4005550.865146361, 
A6NFI3,1653383.8804048577, 
A6NFQ2,534277.9247070116, 
A6NHL2,2894936.560228637, 
A6NHQ2,892557.8861932622, 
A6NHR9,28063624.1756275, 
A6NI79,33163481.513353996, 
A6NI86,12627758.004268736, 
A6NIH7,25250412.168428186, 
A6NJ78,934212.9038454036, 
A6NK89,3177750.9815839007, 
A6NKD9,5183919.725829479, 
A6NKG5,11090748.603004461, 
A6NKT7,1499346.1837948917, 
A6NLP5,3108292.390182796, 
A6NMB1,44721005.7743367, 
A6NMZ7,26122143.623336315, 
A6QL63,4773670.10853499, 
A6ZKI3,9425286.283258645, 
A7E2V4,4054199.8292738963, 
A8K2U0,3813395.431287549, 
A8K7I4,6865833.973694538, 
A8MPS7,2309825.3894174118, 
A8MU46,2026148.3386349662, 
A8MXV4,15676857.59508902, 
A8TX70,1729513.3055470926, 
A9UHW6,881832.3300228715, 
B0I1T2,18407872.850107096, 
B2RTY4,5325085.999284191, 
B4DXR9,27208314.656085063, 
B7ZAQ6,4430566.492831992, 
B9A064,7835953.059684745, 
C4AMC7,24427400.656248096, 
C9J069,530937.9432350361, 
C9JJH3,112621123.6930194, 
C9JLW8,20054758.98226701, 
DECOY_Q6S8J3,27968781.292215332,
DECOY_Q86XE3,5585174.303390987,
E9PAV3,169143206.93532103, 
E9PRG8,6351433.367745695, 
G9CGD6,1802393.3389375082, 
L0R6Q1,1095484.5348985316, 
L0R819,2100528.0948473746, 
O00115,42803984.91401458, 
O00116,22076875.00256694, 
O00139,23161515.10593187, 
O00142,18931201.903516274, 
O00148,36617606.1576411, 
O00151,290466493.8033459, 
O00154,52214431.02486768, 
O00159,165492769.5986277, 
O00160,33552622.9874738, 
O00161,45503263.77644864, 
O00165,2233700.7193380203, 
O00168,703172.1449590063, 
O00170,43693191.234748535, 
O00178,25248464.811310615, 
O00182,55357918.669768915, 
O00186,19556092.164888658, 
O00192,2866622.440158103, 
O00193,18895114.965774097, 
O00194,14901079.352396317, 
O00203,41693093.54798192, 
O00204,1078380.8880341423, 
O00213,3084790.4677404747, 
O00214,7856459.8039463945, 
O00217,12271155.100238064, 
O00221,8901076.320280287, 
O00231,92490337.18904084, 
O00232,76685716.05067423, 
O00233,36001273.5380211, 
O00264,160598852.06829923, 
O00267,37550366.532143116, 
O00268,4086266.596279615, 
O00273,38421631.672550604, 
O00291,21049174.654793512, 
O00292,4620283.836120706, 
O00299,318493697.1904712, 
O00303,79624724.5239032, 
O00308,1745421.163213135, 
O00329,1113881.1182035257, 
O00330,26649449.905300952, 
O00338,38149007.78489253, 
O00339,21071065.823393777, 
O00391,34826638.456373915, 
O00399,6819628.382019228, 
O00400,7015207.6069884915, 
O00401,27693279.849974375, 
O00410,39677745.22870495, 
O00411,4773919.9968228405, 
O00418,2839326.5209534457, 
O00422,37219004.85315755, 
O00423,21991970.235929728, 
O00425,54667234.355461314, 
O00429,60307375.693995334, 
O00442,26707999.257737752, 
O00443,8108360.567564695, 
O00458,3240271.005137184, 
O00459,13809641.846457215, 
O00461,18740025.637400083, 
O00462,29400068.769837737, 
O00468,77448383.92774987, 
O00469,10499886.944653537, 
O00470,12760624.49167808, 
O00471,17556808.60273274, 
O00478,15309679.308414765, 
O00479,7419035.083887057, 
O00483,27081118.309761148, 
O00487,88775761.38897042, 
O00499,21971400.58453347, 
O00505,8766488.29028368, 
O00506,1333747.139938755, 
O00515,116983075.55986781, 
O00533,874422.0538174509, 
O00534,31871123.555910088, 
O00541,21426676.66355901, 
O00560,5871997.726019733, 
O00562,5473507.76020005, 
O00566,6139513.418403037, 
O00567,104896505.33021587, 
O00571,166074800.64307538, 
O00584,22959320.484822825, 
O00592,8318097.107581809, 
O00602,4066701.8143665404, 
O00625,35198968.166175984, 
O00629,48279523.091009304, 
O00635,8639730.080176808, 
O00712,7360562.436053494, 
O00716,85069726.46507423, 
O00743,18800435.960119, 
O00746,453611.69097080966, 
O00748,2120530.5094924737, 
O00750,5319560.744708349, 
O00754,51984642.56418954, 
O00757,4795975.030185057, 
O00762,8263414.230832625, 
O00763,11137240.878033845, 
O00764,68446728.84585127, 
O14497,344489648.4846042, 
O14498,34463529.36534556, 
O14524,3553486.2232107236, 
O14530,4184399.8902215357, 
O14531,25498520.28347909, 
O14545,4530049.927840385, 
O14548,2956181.5625066743, 
O14558,93492589.17544194, 
O14561,12886257.78737761, 
O14562,16663905.123470211, 
O14576,3212100.828196702, 
O14578,777664.9983648434, 
O14579,137671000.9913495, 
O14594,2726175.8810766404, 
O14604,1069406.2533232593, 
O14613,3455003.9830474947, 
O14617,36719802.96156805, 
O14618,40031186.980278194, 
O14638,6429851.60262997, 
O14639,23939682.623724587, 
O14641,2122143.653075532, 
O14646,8407676.019195644, 
O14647,2351115.802093456, 
O14653,10943621.117155036, 
O14656,6289088.00498379, 
O14657,8626931.990311535, 
O14662,2586220.594880651, 
O14672,13818229.889591694, 
O14678,2378232.201750804, 
O14681,2411755.940825432, 
O14682,318917.7283375667, 
O14683,5541085.381726495, 
O14684,3638517.7015414936, 
O14686,4106768.6150103454, 
O14727,5592706.554398285, 
O14730,10511361.857573655, 
O14732,10096670.761056812, 
O14734,2756622.4973340817, 
O14735,30366181.06529183, 
O14737,88007780.5704867, 
O14744,89994664.61009459, 
O14745,202542718.61120895, 
O14756,1313968.2451982198, 
O14764,9885575.114288488, 
O14772,12770665.855662333, 
O14773,317562886.1954483, 
O14776,52935384.116816655, 
O14777,22003708.331600003, 
O14786,36261483.846943974, 
O14787,4925778.619222136, 
O14795,1696209.4000869389, 
O14802,20577793.02236279, 
O14807,2539996.706274289, 
O14818,117217178.02951053, 
O14827,1527431.40874012, 
O14828,27064395.716940008, 
O14832,1285354.9074405706, 
O14841,39618621.48224548, 
O14867,4939209.9296985045, 
O14874,9341583.553937398, 
O14879,31451258.23797328, 
O14896,10760590.214247359, 
O14907,23262715.31340017, 
O14908,21986915.023625553, 
O14910,5030536.535888625, 
O14920,11401633.82524923, 
O14929,33098346.559230212, 
O14933,21043929.458032142, 
O14936,21430569.653505694, 
O14949,37175721.6074305, 
O14950,516241915.75855076, 
O14964,52688687.78202021, 
O14967,2412570.8338308255, 
O14972,2262547.3194310307, 
O14974,78947136.54547003, 
O14975,9507792.600839658, 
O14976,30997965.511164002, 
O14979,186765474.90716022, 
O14980,104299560.94959697, 
O14981,13274798.4180661, 
O14983,1382106.7288548872, 
O14994,2951603.56033611, 
O15013,2230872.3836590266, 
O15020,9144990.110309951, 
O15027,33101364.43057294, 
O15031,37604625.61431214, 
O15037,5738157.545049911, 
O15040,22696514.29354822, 
O15042,69012219.72546633, 
O15047,4473759.053583607, 
O15056,20219145.682530265, 
O15061,60166786.49951099, 
O15063,25946489.360983852, 
O15066,680328633.3726611, 
O15067,34403400.79630368, 
O15068,495227.76671716786, 
O15075,3951498.976347281, 
O15078,25310443.15315759, 
O15084,1888870.208728726, 
O15085,9747309.84748572, 
O15091,7475676.848711903, 
O15111,7840274.878692512, 
O15116,24611693.660127394, 
O15117,3880577.342772027, 
O15118,9208168.480251497, 
O15119,1164997.4263768112, 
O15120,6047480.646851908, 
O15126,43846159.125063926, 
O15127,39113841.36326434, 
O15143,161663059.59714076, 
O15144,272381373.56535363, 
O15145,380265738.69735026, 
O15155,10363993.025605042, 
O15160,41304304.2272395, 
O15162,6979947.344022912, 
O15164,3132978.2446990586, 
O15169,651423.9535173966, 
O15173,75741280.06984982, 
O15195,81252582.81732346, 
O15211,4795693.960639358, 
O15212,53116093.945719, 
O15213,12592850.421258701, 
O15226,15008224.584700998, 
O15228,2523658.252121962, 
O15229,1558909.7283197402, 
O15230,172062771.0530765, 
O15231,1390960.1643333053, 
O15234,5639095.981199298, 
O15239,4908403.852256765, 
O15240,2179341.5614285837, 
O15247,14693560.022556309, 
O15254,6917406.002736069, 
O15258,12530273.59459529, 
O15260,65235041.931952335, 
O15264,36116955.05604045, 
O15269,13926943.96655914, 
O15270,8922974.30785954, 
O15294,14463955.470261969, 
O15296,6914200.292109196, 
O15297,22112026.93859695, 
O15305,63583092.60652554, 
O15321,7500880.230682305, 
O15344,4576310.91493513, 
O15347,59792690.1206977, 
O15355,61351053.14181408, 
O15357,7160058.20843846, 
O15371,83451360.04717101, 
O15372,51190422.027913556, 
O15379,8208001.5211399235, 
O15381,4740979.890573419, 
O15382,41604749.528429896, 
O15397,12990721.650365064, 
O15400,55933238.217957065, 
O15427,645253.5061623156, 
O15438,20078152.105318543, 
O15439,2876095.6233172244, 
O15446,457785.28085032594, 
O15455,3741802.798647167, 
O15460,9295823.81909502, 
O15484,88826887.0765734, 
O15498,69788897.42863066, 
O15511,200863009.47989383, 
O15514,4018700.9943066705, 
O15516,17990803.67804217, 
O15530,5081955.631343615, 
O15533,142173453.5317282, 
O15541,17678780.42350264, 
O15550,64778262.6286749, 
O15551,2428770.275652622, 
