Protein,Protein_quant,ProteinName
A0A075B6H9,5580643.460344781, 
A0A075B6I0,50964960.70029953, 
A0A075B6I9,5182753.887373932, 
A0A075B6J9,13289739.985853996, 
A0A075B767,10255807.235191563, 
A0A087WSX0,6256305.512897397, 
A0A087WSY6,27629337.346578293, 
A0A087WW87,225028769.25067136, 
A0A0A0MS15,18746925.31730858, 
A0A0B4J1U7,21348980.4329494, 
A0A0B4J1V0,11764637.299299689, 
A0A0B4J1V1,8668574.969692053, 
A0A0B4J1V2,22252260.249266908, 
A0A0B4J1X5,258317768.48751482, 
A0A0B4J1Y8,10544282.462060258, 
A0A0B4J1Y9,2386243.89446229, 
A0A0B4J2D5,53960887.7548573, 
A0A0B4J2H0,52456907.351313144, 
A0A0C4DH25,16351345.538368406, 
A0A0C4DH36,23676914.216342278, 
A0A0C4DH43,60614982.96534742, 
A0A0C4DH68,17345301.565838303, 
A0A0J9YX35,41667374.391437404, 
A0A0J9YX94,2184189.766869363, 
A0A0J9YXQ4,1241551.1261175012, 
A0AV96,18133702.962935727, 
A0AVF1,2943884.467243376, 
A0AVT1,42868104.97905314, 
A0FGR8,35178676.00936355, 
A0JNW5,1070164.3930681688, 
A0MZ66,25668302.00030497, 
A0PJW8,2117304.1377086584, 
A0PJZ3,775555.0295443485, 
A1A4S6,3522884.1862171656, 
A1IGU5,3753053.090277575, 
A1L0T0,6715095.355523387, 
A1L390,9638372.59895407, 
A1X283,20469300.270115584, 
A1Z1Q3,11697409.625771416, 
A2A3K4,6130250.3649487775, 
A2RRP1,19516093.196548954, 
A2RTX5,6796579.39289136, 
A2RTY3,2271134.8274392793, 
A2RUB1,108833630.41820306, 
A2RUC4,6285414.250197439, 
A2RUS2,3349476.039673914, 
A3KMH1,24478128.098465964, 
A3KN83,13638039.501190744, 
A4D126,10488644.70447059, 
A4D1P6,21262288.112863287, 
A4D1S0,4431271.40544236, 
A4D2B0,2498626.9828403, 
A4D2P6,5152924.287065677, 
A5A3E0,2919895.8128422494, 
A5D8W1,8734117.400145449, 
A5YKK6,29688199.365184203, 
A5YM72,320705.5402029556, 
A6NCE7,28506018.45820613, 
A6NDG6,4074164.739662261, 
A6NFN3,915548.8464872971, 
A6NFQ2,1784077.4071169887, 
A6NHQ2,3213549.324857768, 
A6NHR9,20794293.22286936, 
A6NIH7,8096539.344244573, 
A6NKD2,2292737.48638558, 
A6NKD9,2862033.8671201225, 
A6NKG5,45826964.0287739, 
A6NLP5,1924386.9567043984, 
A6NMB1,163398299.12657475, 
A6NMY6,4171772.5795745794, 
A6NMZ7,19257868.15975313, 
A6ZKI3,2735976.928172711, 
A7E2V4,4872924.342038465, 
A8CG34,1079934.101447021, 
A8K2U0,5132353.333634059, 
A8K7I4,503639710.39666855, 
A8MTT3,373032.0243906537, 
A8MU46,4907213.314401103, 
A8MVW0,1040713.6659905617, 
A8MVX0,2743970.8314664206, 
A8MXV4,18018508.93489378, 
A8MZF0,1389627.5423388022, 
A8TX70,13946705.538835024, 
A9UHW6,2576302.178778523, 
B0I1T2,40445265.573097736, 
B2RTY4,2341041.8578768116, 
B9A064,11123239.937636307, 
