Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.21292e+07
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	2.78704e+06
A0A131MBU3	IRG7_CAEEL	irg-7	Protein irg-7	1.31038e+07
A0A1C3NSL9	AJM1_CAEEL	ajm-1	Apical junction molecule	6.56642e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.15416e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.50269e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.51764e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	5.87019e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3.64024e+06
A1L020;Q5U5Q3;Q6ZN04;Q86XN8	MEX3A_HUMAN;MEX3B_HUMAN;MEX3C_HUMAN;MEX3D_HUMAN	MEX3A;MEX3B;MEX3C;MEX3D	RNA-binding protein MEX3A	1.1317e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7.92576e+06
A1L429;A6NDE8;O76087;P0CL80;P0CL81;P0CL82;Q13069;Q13070;Q4V321	GAG13_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN	GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE13;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	6.41654e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	7.92456e+06
