Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.33915e+07	1.26162e+07	1.42278e+07	1.32158e+07	1.28632e+07	1.29578e+07
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	2.07738e+06	1.43266e+06	2.04088e+06	1.41772e+06	2.08351e+06	1.92584e+06
A0A131MBU3	IRG7_CAEEL	irg-7	Protein irg-7	1.20899e+07	1.2357e+07	1.2462e+07	1.49299e+07	1.52718e+07	1.55842e+07
A0A1C3NSL9	AJM1_CAEEL	ajm-1	Apical junction molecule	4.16268e+06	4.26405e+06	4.04081e+06	5.54279e+06	5.31197e+06	5.21664e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.28612e+06	2.28782e+06	2.518e+06	2.40787e+06	2.3334e+06	2.39819e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.25578e+07	1.37396e+07	1.321e+07	1.39661e+07	1.21354e+07	1.11114e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.31268e+07	1.2931e+07	1.26606e+07	1.32282e+07	1.23363e+07	1.19854e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	6.32171e+06	6.14303e+06	5.67245e+06	6.02988e+06	5.52288e+06	5.47264e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223		2.746e+06	3.60332e+06	2.41298e+06	2.89616e+06	3.18628e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7.95161e+06	8.39187e+06	8.82125e+06	7.75878e+06	7.83567e+06	8.41439e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1.22068e+06	871720				
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	588837	698675		553649	619943	668166
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.05608e+06	2.03009e+06	1.78852e+06	1.81468e+06	1.95214e+06	1.8552e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5.57713e+06	5.02524e+06	5.01666e+06	5.02737e+06	4.84363e+06	4.80993e+06
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	5.05022e+06	6.12252e+06	6.42712e+06	7.48576e+06	6.99595e+06	7.46447e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.32958e+06	1.33493e+06	1.49973e+06	870891	1.13612e+06	1.34403e+06
A4D2G3	O2A25_HUMAN	OR2A25	Olfactory receptor 2A25	5.32957e+06	5.19746e+06	5.14816e+06	5.55349e+06	6.15454e+06	5.19981e+06
A5JYX5	DHS3_CAEEL	dhs-3	Protein dhs-3	1.87324e+06	2.49994e+06	3.08141e+06	3.76346e+06	3.27118e+06	3.91072e+06
A5JYX8	NCLN_CAEEL	nra-2	Nicalin	1.49023e+06	1.46293e+06	1.32983e+06	1.98596e+06	1.86773e+06	1.62969e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3.13738e+07	2.9609e+07	2.24227e+07	3.57215e+07	3.19911e+07	3.73053e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	2.64352e+07	2.84753e+07	2.31416e+07	1.36772e+07	1.16298e+07	1.33382e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	5.7121e+06	5.01803e+06	5.19398e+06	5.48278e+06	5.19162e+06	5.55534e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.5388e+07	1.44815e+07	1.59151e+07	1.47606e+07	1.34164e+07	1.39155e+07
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	6.77368e+06	6.73367e+06	5.22726e+06	5.86987e+06	6.33725e+06	6.29972e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3.3975e+06	2.87451e+06	3.27926e+06	2.79283e+06	2.62928e+06	3.02886e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	438516	332331	454012	522553	462408	352465
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	5.32129e+06	4.32008e+06	5.76256e+06	5.06328e+06	5.50206e+06	4.86363e+06
