Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
A0A024R1R8	TMA7B_HUMAN	TMA7B	Translation machinery-associated protein 7B	4.63478e+07
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	6.23035e+06
A0A075B6I9;P04211	LV743_HUMAN;LV746_HUMAN	IGLV7-43;IGLV7-46	Immunoglobulin lambda variable 7-46	1.21075e+07
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	2.3358e+06
A0A075B6K5;P80748	LV321_HUMAN;LV39_HUMAN	IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-9	1.43395e+07
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	4.24696e+07
A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	3.50047e+06
A0A075B6S5;A0A0C4DH67;A0A0C4DH69	KV108_HUMAN;KV109_HUMAN;KV127_HUMAN	IGKV1-27;IGKV1-8;IGKV1-9	Immunoglobulin kappa variable 1-27	3.39481e+06
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	1.29297e+08
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	7.2662e+07
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	1.2124e+07
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	5.4619e+06
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	5.42489e+07
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	3.67553e+06
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	9.29832e+07
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	6.53213e+06
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	2.63699e+07
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	1.2878e+06
A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28	1.68032e+07
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	2.16353e+06
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	1.48871e+07
A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D	3.00811e+07
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	4.21014e+06
A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1	Immunoglobulin heavy variable 7-4-1	2.08282e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	3.12556e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.55647e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.02961e+08
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	3.71823e+06
A0PJW8	DAPL1_HUMAN	DAPL1	Death-associated protein-like 1	3.53447e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	3.9658e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	7.83863e+07
A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29	7.45401e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2.54146e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	1.28045e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	9.93297e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	8.35578e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	4.38926e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.27125e+07
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	621685
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	7.54743e+06
A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G	8.14649e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	5.06601e+06
A6NFN3	RFOX3_HUMAN	RBFOX3	RNA binding protein fox-1 homolog 3	1.43426e+07
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	733655
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	7.79017e+06
A6NI72;P14598	NCF1B_HUMAN;NCF1_HUMAN	NCF1;NCF1B	Putative neutrophil cytosol factor 1B	2.45769e+06
A6NIE9	PRS29_HUMAN	PRSS29P	Putative serine protease 29	1.53219e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	7.36227e+06
A6NIZ1	RP1BL_HUMAN	RAP1BL	Ras-related protein Rap-1b-like protein	1.89884e+07
A6NKN8	PC4L1_HUMAN	PCP4L1	Purkinje cell protein 4-like protein 1	336921
A6QL63	ABTB3_HUMAN	ABTB3	Ankyrin repeat and BTB/POZ domain-containing protein 3	1.30735e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.72386e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	807663
A8CG34;Q96HA1	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C	4.8061e+06
A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	3.18132e+07
A8MVW0;Q5VUB5	F1711_HUMAN;F1712_HUMAN	FAM171A1;FAM171A2	Protein FAM171A2	3.87837e+06
