Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	7.9909e+07
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	4.98547e+06
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	1.01136e+07
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	4.42773e+07
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.67124e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.00953e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	2.95717e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.38477e+07
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	3.01352e+06
A1L4H1	SRCRL_HUMAN	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	94063.6
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	5.7692e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2.1686e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	452469
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	4.0599e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.047e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.09661e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.96205e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.13566e+07
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	7.08574e+06
A6NFN3;O43251;Q9NWB1	RFOX1_HUMAN;RFOX2_HUMAN;RFOX3_HUMAN	RBFOX1;RBFOX2;RBFOX3	RNA binding protein fox-1 homolog 3	4.0087e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.52917e+06
A6NI72;A8MVU1;P14598	NCF1B_HUMAN;NCF1C_HUMAN;NCF1_HUMAN	NCF1;NCF1B;NCF1C	Putative neutrophil cytosol factor 1B	9.51239e+06
