Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20201002yuanch_Connie_TCPA_60minDIA_b4-6.mzML
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	9.18912e+06
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	2.81968e+07
A0A075B6I9;P04211	LV743_HUMAN;LV746_HUMAN	IGLV7-43;IGLV7-46	Immunoglobulin lambda variable 7-46	3.00662e+07
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	4.81214e+06
A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	1.41646e+08
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	2.77697e+07
A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	1.40731e+07
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	2.43946e+07
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	2.34244e+08
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	4.6947e+07
A0A0A0MT36;A0A0C4DH26	KVD21_HUMAN;KVD41_HUMAN	IGKV6D-21;IGKV6D-41	Immunoglobulin kappa variable 6D-21	8.79774e+06
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	1.00252e+08
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	2.31723e+08
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	5.08871e+06
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	9.16471e+06
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2.23529e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	1.79268e+08
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	1.94053e+07
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61	3.96041e+07
A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D	4.05898e+07
A0A0C4DH67;A0A0C4DH69	KV108_HUMAN;KV109_HUMAN	IGKV1-8;IGKV1-9	Immunoglobulin kappa variable 1-8	4.11235e+07
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	1.64898e+07
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	3.9314e+07
A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	2.05089e+07
A0A1B0GTU1;O75152;P0DQW0	ZC11A_HUMAN;ZC11B_HUMAN;ZC11C_HUMAN	ZC3H11A;ZC3H11B;ZC3H11C	Zinc finger CCCH domain-containing protein 11B	742090
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	3.80662e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	4.27137e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	2.65526e+06
A1L020;Q5U5Q3;Q6ZN04;Q86XN8	MEX3A_HUMAN;MEX3B_HUMAN;MEX3C_HUMAN;MEX3D_HUMAN	MEX3A;MEX3B;MEX3C;MEX3D	RNA-binding protein MEX3A	1.90562e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	4.63823e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	6.06074e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	7.48008e+07
A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29	2.76067e+08
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	9.39388e+06
A3KN83;Q9Y2G9	SBNO1_HUMAN;SBNO2_HUMAN	SBNO1;SBNO2	Protein strawberry notch homolog 1	2.51286e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.20431e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.58635e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.03498e+07
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	4.3911e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	8.06827e+06
A6NIH7;Q13432	U119A_HUMAN;U119B_HUMAN	UNC119;UNC119B	Protein unc-119 homolog B	9.19374e+06
A6NMZ7	CO6A6_HUMAN	COL6A6	Collagen alpha-6(VI) chain	9.85479e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	4.20121e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	5.7879e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	7.86255e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	6.06218e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	8.25192e+06
C9JQL5	DSA2D_HUMAN		Putative dispanin subfamily A member 2d	6.11219e+06
C9JRZ8	AK1BF_HUMAN	AKR1B15	Aldo-keto reductase family 1 member B15	2.55011e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8.10148e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	6.11346e+06
G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	1.81056e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	764752
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	8.25299e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.00679e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	8.26992e+06
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	6.97764e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	2.96106e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	4.90285e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.33603e+08
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	6.61429e+06
