Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7				1.56613e+06
A0A061ACL3;O76618;Q965I6				3.73568e+06
A0A061ACR1;F5GUA3;Q22498;Q2XN02	COPG_CAEEL	copg-1		4.85658e+06
A0A061ACY0;Q21224				3.69364e+06
A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313	EPI1_CAEEL	epi-1		8.56502e+06
A0A061AD47;A0A061AE99;Q86CZ7				3.73847e+06
A0A061AE05;Q22501				632869
A0A061AJK8;A0A061AL89;Q21920	ANKHM_CAEEL	mask-1		367237
A0A061AL58;O62020				325145
A0A078BQL1;O62444;Q2XMY1				1.13983e+06
A0A078BS63;H1ZUX6;O45000				1.24115e+06
A0A9S2				2.46666e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.21217e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.15436e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.4522e+07
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	2.69991e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	7.24579e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	4.14531e+06
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	1.63208e+06
A1A5D9	BICL2_HUMAN	BICDL2	BICD family-like cargo adapter 2	3.51929e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7.60022e+06
A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	221132
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13067;Q13068;Q13069;Q13070	GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	3.18849e+06
A2A2Z9;Q8IVF6	AN18A_HUMAN;AN18B_HUMAN	ANKRD18A;ANKRD18B	Ankyrin repeat domain-containing protein 18B	3.71826e+07
A2RRD8	ZN320_HUMAN	ZNF320	Zinc finger protein 320	1.40816e+07
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	1.35122e+06
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	7.64549e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.08597e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5.11167e+06
A3QMC2;G5EFT4	AMP1_CAEEL	ltah-1.1		1.68014e+06
A3QMC5				1.48182e+08
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	2.84808e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.16722e+06
A4UGR9	XIRP2_HUMAN	XIRP2	Xin actin-binding repeat-containing protein 2	5.37985e+06
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	1.55048e+06
A5A8Q9;B1V8A0;O61843	SH3GH_CAEEL	unc-57		4.65449e+06
A5HU98;P91425				5.59626e+06
A5HWA4;Q9XW51				193106
A5JYR4;Q8I4G9;Q8I4H0;Q9U3A6				1.65673e+06
A5JYX3;I7J4D2;I7K4K5;I7LFF2;P90947	HMP1_CAEEL	hmp-1		652644
A5JYX4				3.91515e+06
A5JYX8;O18033	NCLN_CAEEL	nra-2	Nicalin	1.93375e+06
A5PEX6;G2HK02;G2HK03;K8ESL3;Q9U207				2.22168e+06
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1.67192e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.66293e+07
A5Z2S4;B2D6K9;Q18696	PPH6R_CAEEL	saps-1		2.14628e+06
A5Z2W3;H9G321				9.39481e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1.16912e+07
A6NC78	GOG8I_HUMAN	GOLGA8IP	Putative golgin subfamily A member 8I	4.5553e+06
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	74863.8
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4.84602e+06
A6NCN2	KR87P_HUMAN	KRT87P	Putative keratin-87 protein	1.66208e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9.26369e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	6.9603e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	4.13121e+06
A6NGY5	O51F1_HUMAN	OR51F1	Olfactory receptor 51F1	5.84842e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	4.48744e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.04129e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2.53077e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	5.07457e+06
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	5.21407e+06
A6ZJ46;Q20621;Q8I4I4				1.51988e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1.15776e+06
A7DT40				911804
A7DT45				6.29929e+06
A7DTF5;Q9U222				3.98984e+06
A7LPE6;P34517;Q7JMU1	GPDH2_CAEEL	gpdh-2		1.29295e+07
A7LPF3;Q20364				478210
A7LPG5;Q5FC71				8.31005e+06
A7LPI4;Q93616				260761
A8MT70	ZBBX_HUMAN	ZBBX	Zinc finger B-box domain-containing protein 1	1.64082e+07
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.27189e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	285552
A8WHR6;Q19775;Q7JLJ3	PPM1A_CAEEL	ppm-1.A		7.29365e+06
A8WI97;L8E6L7;L8E811;L8EC36;Q8I4B8;Q9U1T6				1.58935e+06
A9CZN9;Q966L2				1.88987e+06
A9D0C6				1.22519e+06
A9D2X7;Q9BKU2;X5LPX5				3.29411e+06
A9UJN4;H9G2X3;Q17948				809995
A9UJN7				8.08676e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	9.24082e+06
B0M0L8;H2KYS1				6.13484e+06
B1Q250;H2KYQ0				284003
B1Q254;B1Q255				426722
B1V898				764731
B2D6K7;D4PH96;G5ED29	ATX2_CAEEL	atx-2		4.92477e+06
B2D6P1				5.91734e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	2.81256e+06
