Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7				848740	1.14931e+06	1.20945e+06	1.27032e+06	1.12962e+06	1.27638e+06
A0A061ACL3;O76618;Q965I6				3.30912e+06	3.09148e+06	3.18296e+06	3.90529e+06	4.13439e+06	4.32677e+06
A0A061ACR1;F5GUA3;Q22498;Q2XN02	COPG_CAEEL	copg-1		3.2022e+06	3.39493e+06	2.99308e+06	4.25389e+06	4.13035e+06	4.00252e+06
A0A061ACY0;Q21224				3.29007e+06	3.02646e+06	2.30118e+06	3.49119e+06	3.38069e+06	3.41695e+06
A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313	EPI1_CAEEL	epi-1		6.86228e+06	6.36444e+06	6.44283e+06	7.90075e+06	7.63231e+06	7.65182e+06
A0A061AD47;A0A061AE99;Q86CZ7				2.60868e+06	2.8286e+06	2.66524e+06	3.53511e+06	3.84651e+06	3.54269e+06
A0A061AE05;Q22501				609811	651477		959678	1.0072e+06	753214
A0A061AJK8;A0A061AL89;Q21920	ANKHM_CAEEL	mask-1		465054		610445	534682	892952	523876
A0A061AL58;O62020				145400	155276	228683	194942	277381	302311
A0A078BS63;H1ZUX6;O45000				871893	889733	1.08409e+06	1.26545e+06	1.36844e+06	1.41431e+06
A0A9S2				1.83789e+06			2.07911e+06	2.49755e+06	2.26841e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2.37108e+06	2.46193e+06	2.5928e+06	2.6237e+06	2.46746e+06	2.47545e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.58166e+07	1.63209e+07	1.5304e+07	1.59941e+07	1.57226e+07	1.63309e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.24562e+07	1.18824e+07	1.21088e+07	1.2159e+07	1.1882e+07	1.11585e+07
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	1.29306e+06	1.416e+06		1.44207e+06	1.48354e+06	838553
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	7.50452e+06	7.3673e+06	6.65448e+06	7.10229e+06	6.51608e+06	6.69566e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2.9922e+06	3.01833e+06	2.77422e+06	2.7546e+06	2.41598e+06	2.18861e+06
A1A5D9	BICL2_HUMAN	BICDL2	BICD family-like cargo adapter 2	3.04912e+06	9.38387e+06		4.66361e+06	3.69172e+06	6.64059e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	8.69196e+06	9.21092e+06	9.54985e+06	8.61509e+06	8.65851e+06	9.06388e+06
A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8		576405			443868	502968
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	917090	944151	984413	576915		761931
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13067;Q13068;Q13069;Q13070	GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	2.87604e+06	3.44499e+06	2.75181e+06	3.35367e+06	3.01366e+06	2.38154e+06
A2A2Z9;Q8IVF6	AN18A_HUMAN;AN18B_HUMAN	ANKRD18A;ANKRD18B	Ankyrin repeat domain-containing protein 18B	3.81006e+07	3.99073e+07	3.73975e+07	3.31508e+07	3.8941e+07	3.24419e+07
A2RRD8	ZN320_HUMAN	ZNF320	Zinc finger protein 320	1.63741e+07	1.31609e+07	1.35885e+07	1.42237e+07	1.31348e+07	1.25849e+07
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	718024	838697	628230	670150	715440	818282
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	8.92208e+06	8.83087e+06	9.30808e+06	8.03091e+06	9.34401e+06	9.1234e+06
A3FPK9							505294	477567	
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.01789e+06	2.07855e+06	1.75661e+06	2.04062e+06	1.90273e+06	1.73924e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5.34257e+06	4.80592e+06	4.86822e+06	5.11027e+06	4.59219e+06	4.81409e+06
A3QMB7				1.33072e+07	1.18393e+07	1.01735e+07	1.37873e+07	1.57612e+07	1.2139e+07
A3QMC2;G5EFT4	AMP1_CAEEL	ltah-1.1		1.26207e+06	1.29511e+06	1.40025e+06	1.52092e+06	1.49193e+06	1.4044e+06
A3QMC5				1.05602e+08	1.25613e+08	1.28575e+08	1.42779e+08	1.59779e+08	1.53075e+08
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	1.12122e+06	1.669e+06	1.35909e+06	1.80277e+06	1.80643e+06	1.951e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.31741e+06	1.39649e+06	1.43642e+06	1.03618e+06	1.20728e+06	1.1971e+06
A4UGR9	XIRP2_HUMAN	XIRP2	Xin actin-binding repeat-containing protein 2	2.60404e+06	3.09969e+06	3.6953e+06	3.08765e+06	3.42161e+06	3.85075e+06
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	2.64835e+06	2.60344e+06	3.23454e+06	2.73469e+06	2.75694e+06	2.6365e+06
A5A8Q9;B1V8A0;O61843	SH3GH_CAEEL	unc-57		3.5642e+06	3.81002e+06	3.94842e+06	4.39074e+06	4.61902e+06	4.89008e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	583344	675426	371794	520849	470339	358195
A5HU98;P91425					3.67398e+06	5.09704e+06	5.81884e+06	5.5676e+06	3.85367e+06
A5HWA4;Q9XW51					142073	136234	202079	200090	201274
A5JYR4;Q8I4G9;Q8I4H0;Q9U3A6				1.33218e+06	878450	955545	1.04581e+06	1.18684e+06	1.07544e+06
A5JYX3;I7J4D2;I7K4K5;I7LFF2;P90947	HMP1_CAEEL	hmp-1		468719	611474	511820	713814	563229	835638
A5JYX4				1.68944e+06	1.56193e+06	1.90474e+06	1.82553e+06	1.9605e+06	1.97444e+06
A5JYX8;O18033	NCLN_CAEEL	nra-2	Nicalin	1.68841e+06	1.6196e+06	1.42396e+06	2.20387e+06	1.99456e+06	1.77612e+06
A5PEX6;G2HK02;G2HK03;K8ESL3;Q9U207				964038	1.12566e+06	1.06664e+06	1.47251e+06	1.23355e+06	1.53193e+06
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1.79097e+06	2.06517e+06	1.50722e+06	1.70937e+06	1.57844e+06	1.48088e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.28678e+07	4.31778e+07	3.79918e+07	4.15592e+07	4.0425e+07	3.88197e+07
A5Z2S4;B2D6K9;Q18696	PPH6R_CAEEL	saps-1		1.84738e+06	1.61352e+06	2.34974e+06	2.23031e+06	3.01848e+06	2.33409e+06
