Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190320yix_KRUK_DIA_b6_15.mzML
A0A075B767	PAL4H_HUMAN	PPIAL4H	Peptidyl-prolyl cis-trans isomerase A-like 4H	6.85312e+06
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	1.68952e+07
A0A087WW87	KV240_HUMAN	IGKV2-40	Immunoglobulin kappa variable 2-40	4.43724e+07
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	7.60685e+06
A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	3.89801e+07
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	2.95642e+07
A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2.94948e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	2.57344e+07
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	2.2472e+06
A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28	9.19866e+06
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	2.7262e+06
A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24	2.60659e+06
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	8.38378e+06
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	8.93404e+07
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	3.2215e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	3.71619e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	2.15492e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.08905e+07
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	2.26122e+06
A1IGU5	ARH37_HUMAN	ARHGEF37	Rho guanine nucleotide exchange factor 37	1.14203e+07
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2.54207e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	4.02049e+06
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	1.18606e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	3.76008e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	1.60322e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	626450
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	6.25719e+06
A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5	4.8245e+07
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	2.77413e+09
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	5.54e+06
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	7.91503e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.84915e+07
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	7.88471e+06
A6NCI4	VWA3A_HUMAN	VWA3A	von Willebrand factor A domain-containing protein 3A	1.01134e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	6.48637e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	5.3099e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.04259e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2.91852e+07
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	1.28575e+07
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	6.40173e+06
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	2.97032e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	4.60502e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	969388
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	8.02609e+06
A8K7I4	CLCA1_HUMAN	CLCA1	Calcium-activated chloride channel regulator 1	5.17269e+06
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	7.71456e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	442169
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	5.81515e+06
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	6.20044e+06
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	1.10548e+07
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	772751
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.01136e+07
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8.17845e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.19522e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	6.70401e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.77663e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	6.73386e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.05093e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	1.14062e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	4.66599e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.54077e+08
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2.584e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	7.93162e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	2.26314e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.16511e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	103629
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	4.1498e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1.31856e+07
O00182	LEG9_HUMAN	LGALS9	Galectin-9	3.29417e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	9.35533e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	2.00811e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.3122e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	2.11154e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.10719e+07
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	4.98808e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4.92736e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	4.45822e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.59881e+07
O00255	MEN1_HUMAN	MEN1	Menin	1.97258e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	6.9973e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.99676e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	2.19472e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.71037e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.52485e+07
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.97489e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	5.62915e+07
O00327	BMAL1_HUMAN	BMAL1	Basic helix-loop-helix ARNT-like protein 1	4.4799e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	9.16548e+06
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	2.78131e+07
O00339	MATN2_HUMAN	MATN2	Matrilin-2	1.45246e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.75688e+07
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	3.34407e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.33058e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	2.76224e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	2.56578e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1.65994e+07
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	1.25085e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	1.09346e+08
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	3.28979e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.46159e+07
