Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20201002yuanch_Connie_TCPA_60minDIA_b4-4.mzML
A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	3.75374e+06
A0A075B767	PAL4H_HUMAN	PPIAL4H	Peptidyl-prolyl cis-trans isomerase A-like 4H	1.10276e+07
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	2.25409e+07
A0A087WW87	KV240_HUMAN	IGKV2-40	Immunoglobulin kappa variable 2-40	5.12207e+07
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	2.1635e+07
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	6.21589e+06
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	3.65249e+07
A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	3.65502e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	1.9592e+07
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	2.74822e+06
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	5.6694e+06
A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	1.07651e+07
A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24	5.4617e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	4.1645e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	2.54665e+07
A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	474943
A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	1.12495e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	5.31604e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	4.76707e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	9.36915e+07
A2CJ06	DYTN_HUMAN	DYTN	Dystrotelin	1.19612e+08
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2.26648e+07
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	2.25528e+06
A2RUB1	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	1.68828e+07
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	1.80854e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	5.60041e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	9.91904e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	6.79648e+06
