UniprotID,ProteinName,quant
A0A061ACH4,A0A061ACH4_CAEEL,1140940.745879009
A0A061ACL3,A0A061ACL3_CAEEL,7127275.60274289
A0A061ACR1,A0A061ACR1_CAEEL,2893102.6164957304
A0A061ACU2,A0A061ACU2_CAEEL,690019.929972905
A0A061ACY0,A0A061ACY0_CAEEL,3071889.2197237653
A0A061AD21,A0A061AD21_CAEEL,6436919.765646176
A0A061AD47,A0A061AD47_CAEEL,4486655.550778837
A0A061AE05,A0A061AE05_CAEEL,948718.7690682792
A0A061AJK8,A0A061AJK8_CAEEL,676493.3659524589
A0A061AL58,A0A061AL58_CAEEL,387847.7651128139
A0A078BQL1,A0A078BQL1_CAEEL,1179926.284294193
A0A078BS63,A0A078BS63_CAEEL,1307676.8822558052
A0A9S2,A0A9S2_CAEEL,936558.3000362178
A0AV96,RBM47_HUMAN,2970335.627492531
A0AVF1,TTC26_HUMAN,21101810.007182524
A0AVT1,UBA6_HUMAN,4515130.767798173
A0FGR8,ESYT2_HUMAN,5200420.122633178
A0JLT2,MED19_HUMAN,1887384.5116199688
A0MZ66,SHOT1_HUMAN,4114547.9241045853
A0PJW6,TM223_HUMAN,4247181.095874811
A1A4S6,RHG10_HUMAN,1171155.7712089352
A1A5D9,BICR2_HUMAN,9893575.398094002
A1L0T0,ILVBL_HUMAN,5848529.686933153
A1L188,CQ089_HUMAN,740176.5586929641
A1L429,GG12C_HUMAN,4670224.652247671
A2A2Z9,AN18B_HUMAN,26170632.827256277
A2RRD8,ZN320_HUMAN,11320063.676378913
A2RRP1,NBAS_HUMAN,1170020.2001274899
A2RTX5,SYTC2_HUMAN,7304021.932864154
A2V8C3,A2V8C3_CAEEL,940294.7914445896
A3FPK9,A3FPK9_CAEEL,391379.6898111162
A3KMH1,VWA8_HUMAN,2643564.1757909954
A3KN83,SBNO1_HUMAN,4454725.600545746
A3QMC2,A3QMC2_CAEEL,2831498.913322518
A3QMC5,A3QMC5_CAEEL,37898115.251583464
A3QMC8,GMPPB_CAEEL,2514745.820444623
A4D1E9,GTPBA_HUMAN,1936863.9404697097
A4UGR9,XIRP2_HUMAN,2221908.150336397
A5A3E0,POTEF_HUMAN,1967554.294698577
A5A8Q9,A5A8Q9_CAEEL,6886193.602111239
A5D8V6,VP37C_HUMAN,1303098.4023656645
A5HU98,A5HU98_CAEEL,8528299.61760245
A5HWA4,A5HWA4_CAEEL,340827.67918839137
A5HWB2,A5HWB2_CAEEL,4133720.5360110207
A5JYR4,A5JYR4_CAEEL,1525036.3328264074
A5JYX3,A5JYX3_CAEEL,748127.8901086075
A5JYX4,A5JYX4_CAEEL,4118131.3300876627
A5JYX8,A5JYX8_CAEEL,4510633.035495949
A5PEX6,A5PEX6_CAEEL,3789330.0381613327
A5PLL7,TM189_HUMAN,3044078.0002887347
A5YKK6,CNOT1_HUMAN,9177609.784399932
A5Z2S4,A5Z2S4_CAEEL,1272260.7766532225
A5Z2W3,A5Z2W3_CAEEL,14341924.259591471
A5Z2X5,YP010_YEAST,4890492.458424001
A6NC78,GOG8I_HUMAN,1991746.8136459305
A6NC98,CC88B_HUMAN,779394.7617650595
A6NCE7,MP3B2_HUMAN,15693420.638400976
A6NCN2,KR87P_HUMAN,13066480.065848174
A6ND36,FA83G_HUMAN,755898.946303452
A6NDG6,PGP_HUMAN,6791544.558048257
A6NDU8,CE051_HUMAN,3245637.859868303
A6NED2,RCCD1_HUMAN,4586388.786028565
A6NFI3,ZN316_HUMAN,278686.92088719027
A6NGY5,O51F1_HUMAN,767751.2181850487
A6NHL2,TBAL3_HUMAN,3218282.110647195
A6NHR9,SMHD1_HUMAN,7110324.122627859
A6NIH7,U119B_HUMAN,4781692.672758292
A6NJ78,MET15_HUMAN,1310438.5208446116
A6NKD9,CC85C_HUMAN,2904500.1558918394
A6NKF1,SAC31_HUMAN,11654334.227235284
A6ZJ46,A6ZJ46_CAEEL,2023296.6148438293
A6ZKI3,F127A_HUMAN,841417.3973953598
A7DT40,A7DT40_CAEEL,604465.2606622672
A7DT45,A7DT45_CAEEL,5784466.734673484
A7DTF0,A7DTF0_CAEEL,1444864.8051009406
A7DTF5,A7DTF5_CAEEL,6928391.604504076
A7E2V4,ZSWM8_HUMAN,55814.44291758576
A7LPE6,A7LPE6_CAEEL,18490298.2285539
A7LPF3,A7LPF3_CAEEL,3705325.768196252
A7LPG5,A7LPG5_CAEEL,14313755.604087366
A7LPJ5,A7LPJ5_CAEEL,1998847.4177916558
A7WK39,A7WK39_CAEEL,365053.0936128192
A8JJR1,A8JJR1_CAEEL,288205.0506645871
A8MT70,ZBBX_HUMAN,5438861.260149348
A8MWD9,RUXGL_HUMAN,94774259.86064923
A8MXV4,NUD19_HUMAN,669631.8927046788
A8WHR6,A8WHR6_CAEEL,15060135.050914332
A8WI97,A8WI97_CAEEL,1910525.3965942883
A9CZN9,A9CZN9_CAEEL,4432327.3807940455
