Protein	Protein_name	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03
Q9XTZ2	Q9XTZ2_CAEEL	452280.0632	1875401.592	1887364.344	480705.9163	2410045.942	1856319.132
P05204	HMGN2_HUMAN	97708468.07	100831517.5	94576588.61	90902357.41	94113142.91	94708092.46
P61158	ARP3_HUMAN	23628648.3	21848353.6	23216765.2	23245408.77	24255711.39	21026956.32
Q5QJE6	TDIF2_HUMAN	5824358.387	5696096.449	5350821.125	5879557.084	5550477.379	5874385.483
O01806	O01806_CAEEL	28381403.68	28342280.58	27411669.75	36812710.86	36750507.67	35373612.89
Q16555	DPYL2_HUMAN	22456568.59	21236350.51	20626759.5	22819978.38	23791181.37	22534779.74
Q7KZF4	SND1_HUMAN	33779389.96	33708017.95	31737214.3	34178729.44	34050007.7	33935065.62
Q9UHD8	SEPT9_HUMAN	20834996.13	20360164.3	17464185.82	19283772.98	19330666.63	19315515.66
Q14974	IMB1_HUMAN	65046377.13	62752923.04	64751224.99	65376697.23	68509381.68	68208971.59
P35269	T2FA_HUMAN	5145367.292	5167549.63	5372024.334	4941928.872	5244840.878	5341868.25
P00367	DHE3_HUMAN	51766315.65	50784078.05	46278053.96	49813569.17	51325686.53	51690500.05
Q15365	PCBP1_HUMAN	92216401.36	96669228.88	93092565.7	91151397.62	88356707.8	103155392.1
P10567	MYSP_CAEEL	166372121.5	179295764.5	173009381.3	223482101.9	227331079.3	235390356.6
Q9UII2	ATIF1_HUMAN	53902328.45	51331038.25	61036889.11	51580928.2	60944672.08	64210901.8
Q13435	SF3B2_HUMAN	45960055.83	43411079.88	43672316.42	44181987.33	44983643.79	46758439.89
Q9NUQ9	FA49B_HUMAN	13338152.58	15093891.43	15388083.4	16920727.64	15128884	14526357.78
Q12906	ILF3_HUMAN	55222134.45	54059672.82	55718226.32	57474347.25	56184671.98	57127017.2
Q14151	SAFB2_HUMAN	18355902.43	16937680.3	15835949.03	17010191.61	16425813.39	17111277.98
Q1KMD3	HNRL2_HUMAN	30833868.18	32195555.16	30316035.88	31820413.18	29667627.78	30513049.23
Q9NR45	SIAS_HUMAN	20333413.84	20429081.56	20822598.86	21774520.55	23608907.93	21406488.14
