Protein,Protein_quant,ProteinName
A0A024RBG1,355377.9986397731, 
A0A075B6H9,567202.7586140377, 
A0A075B6K4,908681.2132023934, 
A0A087WSY6,6037493.025187908, 
A0A087WSZ0,1951075.4048616672, 
A0A087WW87,16897936.502494033, 
A0A0A0MS15,12107154.006398719, 
A0A0B4J1U7,1369915.8453596772, 
A0A0B4J1V0,644585.6378651457, 
A0A0B4J1X5,26415400.710404262, 
A0A0B4J1Y9,50368646.31451173, 
A0A0B4J2D5,71232600.75319868, 
A0A0B4J2H0,1207497.806104167, 
A0A0C4DH24,583854.3398819423, 
A0A0C4DH25,12632502.397270214, 
A0A0C4DH31,2219778.0931432075, 
A0A0C4DH33,4042664.2443474988, 
A0A0C4DH34,2682975.5956989503, 
A0A0C4DH36,2158231.060171047, 
A0A0C4DH38,1381361.2833718408, 
A0A0C4DH67,4125266.4849755485, 
A0A0C4DH68,4895912.804552153, 
A0A0C4DH72,5848853.867826039, 
A0A0J9YX94,434130.2309742767, 
A0A0J9YXQ4,1790001.1375130438, 
A0AV96,8032572.07782422, 
A0AVF1,2985106.8747951617, 
A0AVT1,16329855.501231488, 
A0FGR8,19634881.245802052, 
A0JLT2,2490447.663746675, 
A0JNW5,1076285.8625425014, 
A0M8Q6,1064576.8363900585, 
A0MZ66,16868977.986027755, 
A0PJW6,1390608.8390018505, 
A0PJW8,416983.90591215197, 
A0PK00,1826491.8868135086, 
A1A4S6,401325.3916883097, 
A1A5D9,727972.1074894535, 
A1IGU5,1433436.2596775815, 
A1L020,10729597.785364838, 
A1L0T0,4867370.880828309, 
A1L170,543787.0734071268, 
A1L188,661561.1321707256, 
A1L390,1085511.3702249, 
A1X283,12936167.017433096, 
A1XBS5,717996.1754184252, 
A1Z1Q3,1611124.7080368968, 
A2NJV5,1766010.1089804117, 
A2RRP1,5126425.529344307, 
A2RTX5,728954.9361333533, 
A2RTY3,412254.7165417738, 
A2RU67,772936.9629650759, 
A2RUB1,309596.255330472, 
A2RUB6,1069140.7067225417, 
A2RUC4,1254340.0568222697, 
A2RUS2,2738484.750019108, 
A3KMH1,7130144.340452406, 
A3KN83,9083149.186740793, 
A4D126,36272.29725634377, 
A4D161,1214174.8937857377, 
A4D1E9,6391441.518489644, 
A4D1P6,3198234.387787463, 
A4D1S0,3993586.1222350337, 
A4D1S5,475486.20215329004, 
A4D1U4,359944.1325471303, 
A4D2P6,364588.528383045, 
A4FU69,12953535.443261255, 
A5A3E0,2175311.9644921036, 
A5D8V6,2143877.3795803394, 
A5PKW4,3160413.572611009, 
A5PLN9,741725.6184094074, 
A5YKK6,18083127.75951531, 
A5YM72,2437196.228782679, 
A6NCE7,10254267.631401617, 
A6NCS6,580623.670313523, 
A6ND91,12012758.853487812, 
A6NDB9,12343676.386977095, 
A6NDG6,6797352.066534775, 
A6NDU8,1987123.8286110868, 
A6NED2,2787571.4858389683, 
A6NEE1,1335416.1465069456, 
A6NFI3,508202.26074523455, 
A6NFN3,189775.23964337236, 
A6NFQ2,977463.2537541277, 
A6NGB9,1205381.4068191154, 
A6NHL2,3056892.132833106, 
A6NHQ2,540371.3266886334, 
A6NHR9,11254070.022567313, 
A6NIH7,12052559.954761432, 
A6NJ78,4893235.603561861, 
A6NK58,474433.3718862253, 
A6NK89,685966.876962679, 
A6NKD2,845192.8206793275, 
A6NKD9,5252176.290526371, 
A6NKF1,1230177.1323880253, 
A6NKG5,2280708.318654184, 
A6NKT7,691463.5003934429, 
A6NLP5,183909.5963480125, 
A6NMB1,62112649.1404456, 
A6NMZ7,11997362.596434627, 
A6QL63,800859.4960318996, 
A6ZKI3,1089859.9789319942, 
A7E2V4,3242082.978409153, 
A7E2Y1,916163.7577776595, 
A7KAX9,3754521.2265729085, 
A8CG34,4316254.729472352, 
A8K2U0,22046960.534800336, 
A8K7I4,2669349.3323600804, 
A8MPS7,74791.24465053681, 
A8MTT3,532033.7966734977, 
A8MU46,493887.5633603799, 
A8MVW0,4715321.607400161, 
A8MVX0,232766.52779094543, 
A8MW92,1466741.4485134045, 
A8MXV4,11886415.258318845, 
A8TX70,1060095.144689282, 
B0I1T2,2440286.8004802256, 
