Protein,Protein_quant,ProteinName
A0A024RBG1,6541602.336293351, 
A0A075B6I0,7390107.2862719605, 
A0A075B767,6183760.50380604, 
A0A087WSY6,14073647.706441514, 
A0A087WW87,57916772.47998876, 
A0A0A0MS15,15816150.5148343, 
A0A0B4J1U7,11320118.726777583, 
A0A0B4J1V1,840639.2942004491, 
A0A0B4J1X5,25353281.08142712, 
A0A0B4J1Y9,2292047.9687326504, 
A0A0B4J2D5,24912117.548585262, 
A0A0B4J2H0,5998653.97593092, 
A0A0C4DH25,23250512.31006586, 
A0A0C4DH36,9532589.59808579, 
A0A0C4DH38,6155528.342650032, 
A0A0J9YXQ4,3510633.4788081767, 
A0AV96,30010353.474187136, 
A0AVF1,4604879.3437795965, 
A0AVT1,41714962.095183, 
A0FGR8,40282672.13077814, 
A0JNW5,325737.3597467815, 
A0M8Q6,4558353.020745426, 
A0MZ66,3132461.8824647367, 
A0PJW8,2421783.898306116, 
A0PJZ3,561122.247585237, 
A1A4S6,3087679.483869144, 
A1A5D9,1339035.5126454555, 
A1IGU5,6226132.092518612, 
A1L020,23406970.23859369, 
A1L0T0,13038745.48189944, 
A1L390,6803920.584238286, 
A1X283,59030439.66377067, 
A1Z1Q3,1399572.2600063595, 
A2A288,1174395.3130838876, 
A2RRP1,34941775.48423377, 
A2RTX5,24242922.413093008, 
A2RUB1,27828070.67977703, 
A2RUB6,8509512.802026827, 
A2RUC4,9625455.808197925, 
A2RUS2,25172665.765281305, 
A2VDJ0,1040098.6885609459, 
A3KMH1,9331053.500912467, 
A3KN83,14638402.352341335, 
A4D0V7,8143223.911123413, 
A4D1E9,11932655.629049074, 
A4D1P6,23296608.672264323, 
A4D2P6,1641960.7810876893, 
A4FU69,21695533.552919038, 
A5A3E0,38825294.66416529, 
A5D8V6,5328100.295041894, 
A5PLL7,1176168.7409145755, 
A5PLN9,5197469.165795195, 
A5YKK6,42640839.91722259, 
A5YM72,6648845.356425922, 
A6NCE7,25418514.24172995, 
A6ND36,726002.339223417, 
A6ND91,2416842.3608893454, 
A6NDB9,1178669.8692678283, 
A6NDG6,21992210.271458756, 
A6NDU8,9171261.27543139, 
A6NEE1,2835871.4720846517, 
A6NFI3,2784880.3653785773, 
A6NFN3,2547234.2502017305, 
A6NFQ2,5204296.205392912, 
A6NFY7,4545918.745135236, 
A6NHL2,2393862.8451628503, 
A6NHQ2,2756199.257774459, 
A6NHR9,20567637.362678524, 
A6NI28,21728744.873377968, 
A6NI86,38578496.31819237, 
A6NIH7,30102083.05075971, 
A6NK89,1027047.0483045914, 
A6NKD9,5216854.587289152, 
A6NKG5,28610716.539322995, 
A6NLP5,3502217.032449259, 
A6NMZ7,18533234.291141216, 
A6ZKI3,12309759.846146608, 
A7E2V4,8945135.61043592, 
A7KAX9,16681131.27392697, 
A8CG34,28059619.360890552, 
A8K2U0,16429374.254261382, 
A8K7I4,6489737.894051086, 
A8MTT3,797340.6739471521, 
A8MU46,924093.8151289328, 
A8MVX0,1387664.7665824867, 
A8MW92,5974675.003221279, 
A8MXV4,20702129.307717435, 
A8MZF0,1501576.170747659, 
A8TX70,4269956.261208729, 
A9UHW6,701269.6499047006, 
B0I1T2,9989382.80189659, 
B2RTY4,13881236.132709756, 
B4DXR9,6176328.760728681, 
B7ZAP0,3844057.4258102314, 
B7ZAQ6,8068026.700077674, 
C4AMC7,11968193.393289726, 
C9J069,12955688.875411637, 
C9JJH3,46440470.97566444, 
C9JLR9,658127.4976176625, 
C9JLW8,22706206.962733135, 
C9JRZ8,968383.4803245814, 
C9JTQ0,1811219.516410549, 
DECOY_O00329,152817.1724024979,
DECOY_P26006,9736591.824242854,
DECOY_P30711,1898700.984159552,
DECOY_Q04828,10242998.06936187,
DECOY_Q15011,1470209.1974064636,
DECOY_Q8ND71,1835004.5962255092,
DECOY_Q96DN6,483981.5233198444,
E9PAV3,224572372.68722236, 
E9PRG8,17051983.683442578, 
G9CGD6,15321964.806778036, 
L0R6Q1,2858102.4935511714, 
L0R819,6594461.700628895, 
O00115,28245168.630182665, 
O00116,15166978.225645702, 
O00124,3135963.4664639775, 
O00139,48607440.97095168, 
O00142,5287655.293103856, 
O00148,90225445.72432785, 
O00151,23197832.205091115, 
O00154,59166844.95475075, 
